ID,TestName,Status,Type,US_ID,TC_ID,Artifact,ExecutionTime
425,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250925_202526.json",2025-09-25 20:25:26
426,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_202526.json",2025-09-25 20:25:26
427,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250925_202526.json",2025-09-25 20:25:26
428,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250925_202526.json",2025-09-25 20:25:26
429,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250925_202526.json",2025-09-25 20:25:26
430,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250925_202526.json",2025-09-25 20:25:26
431,testHomePageTitle,PASS,UI,US101,Verify Home Page Title,"artifacts/screenshots/testHomePageTitle_20250925_202528.png",2025-09-25 20:25:28
432,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_202529.png",2025-09-25 20:25:29
433,testNavigateToHomePage,PASS,UI,US109,Navigate to Home Page,"artifacts/screenshots/testNavigateToHomePage_20250925_202529.png",2025-09-25 20:25:29
434,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"artifacts/screenshots/testHomePageContainsDepartureAndDestination_20250925_202529.png",2025-09-25 20:25:29
435,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_202529.png",2025-09-25 20:25:29
436,testConfirmationPage,PASS,UI,US108,Verify Confirmation Page,"artifacts/screenshots/testConfirmationPage_20250925_202529.png",2025-09-25 20:25:30
437,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_202530.png",2025-09-25 20:25:30
438,testFlightSearchNavigation,PASS,UI,US103,Verify Flight Search Navigation from Home Page,"artifacts/screenshots/testFlightSearchNavigation_20250925_202531.png",2025-09-25 20:25:31
439,testPurchaseFlight,PASS,UI,US107,Purchase Flight,"artifacts/screenshots/testPurchaseFlight_20250925_202532.png",2025-09-25 20:25:32
440,testFillPurchaseForm,PASS,UI,US106,Fill Purchase Form,"artifacts/screenshots/testFillPurchaseForm_20250925_202532.png",2025-09-25 20:25:32
441,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250926_093643.json",2025-09-26 09:36:43
442,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250926_093643.json",2025-09-26 09:36:43
443,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250926_093643.json",2025-09-26 09:36:43
444,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250926_093643.json",2025-09-26 09:36:43
445,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250926_093643.json",2025-09-26 09:36:43
446,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250926_093643.json",2025-09-26 09:36:43
447,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250926_093643.json",2025-09-26 09:36:43
448,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250926_093643.json",2025-09-26 09:36:43
449,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250926_093643.json",2025-09-26 09:36:43
450,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250926_093644.json",2025-09-26 09:36:44
451,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"",2025-09-26 09:37:16
